id,cotizacionId,servicioId,servicioCategoriaId,cantidad,posicion,createdAt,updatedAt
cm3rx6sn00003wuf6kt6019hn,cm44vf4tm0001lxexr2pyvxsb,cm3rx6sn00003wuf6kt6019hn,cm3p0bqus000dnk9s7cggt1yt,1,1,1733272943236,1733272943236
cm4aly9re0003tc68lbs6mdp8,cm4aly9nl0001tc6818k35zwi,cm3s111ud001nwuf6fyys1mvp,cm3p05s6k0008nk9spkpqzxbq,8,1,1733360272107,1733360272107
cm4aly9rh0005tc68tlfehnn5,cm4aly9nl0001tc6818k35zwi,cm3rui931000bnlfxmwmrsa03,cm3p0407x0004nk9sl32143wb,1,1,1733360272109,1733360272109
cm4aly9ri0007tc68bjdjptdi,cm4aly9nl0001tc6818k35zwi,cm3s0gzjg001fwuf6mn6ik00h,cm3p068ht0009nk9s280trn2b,1,2,1733360272111,1733360272111
cm4aly9rk0009tc686ybg7609,cm4aly9nl0001tc6818k35zwi,cm3s0qyrd001jwuf6mnli4xki,cm3p068ht0009nk9s280trn2b,1,3,1733360272113,1733360272113
cm4aly9rm000btc68opf0w96w,cm4aly9nl0001tc6818k35zwi,cm3ruqfcd000hnlfx7j3v8gfq,cm3p04lcz0006nk9swv8k2z0u,1,1,1733360272115,1733360272115
cm4aly9ro000dtc68ei46j0ew,cm4aly9nl0001tc6818k35zwi,cm3s24qpy002hwuf6o1w0zj2a,cm3p06vln000bnk9s6xdfltab,1,3,1733360272117,1733360272117
cm4aly9rq000ftc6879v0kt0c,cm4aly9nl0001tc6818k35zwi,cm3s18wz50027wuf60yhstmhq,cm3p06vln000bnk9s6xdfltab,1,4,1733360272119,1733360272119
cm4aly9rs000htc68p0s4yzcs,cm4aly9nl0001tc6818k35zwi,cm3rzi1vc000rwuf692k524bi,cm3p05s6k0008nk9spkpqzxbq,1,3,1733360272120,1733360272120
cm4aly9ru000jtc68x0gszzej,cm4aly9nl0001tc6818k35zwi,cm3rxdfqo000bwuf68032sket,cm3p04vhy0007nk9sco2nqv89,8,1,1733360272122,1733360272122
cm4aly9rv000ltc68q908p8lw,cm4aly9nl0001tc6818k35zwi,cm3ruonyj000fnlfxt0ig45bb,cm3p0452q0005nk9slxs3ereu,1,5,1733360272124,1733360272124
cm4aly9rx000ntc68aaixpq1s,cm4aly9nl0001tc6818k35zwi,cm3s134cu001vwuf66pveiszi,cm3p05s6k0008nk9spkpqzxbq,1,4,1733360272126,1733360272126
cm4aly9rz000ptc68r9w1bj7g,cm4aly9nl0001tc6818k35zwi,cm3s151cu0021wuf6jwjf7q5t,cm3p05s6k0008nk9spkpqzxbq,1,7,1733360272128,1733360272128
cm4aly9s1000rtc68jpii48tb,cm4aly9nl0001tc6818k35zwi,cm3rubnce0003nlfxy17wcxsd,cm3p03mwx0003nk9ssu3ae7rq,1,5,1733360272129,1733360272129
cm4aly9s2000ttc687u765lpe,cm4aly9nl0001tc6818k35zwi,cm3s0a1eg0019wuf6fkbym13q,cm3p04vhy0007nk9sco2nqv89,1,7,1733360272131,1733360272131
cm4aly9s4000vtc68grp9scoc,cm4aly9nl0001tc6818k35zwi,cm3rueztl0009nlfxo9zfpiap,cm3p03mwx0003nk9ssu3ae7rq,15,7,1733360272132,1733360272132
cm4aly9s6000xtc68yekzorhd,cm4aly9nl0001tc6818k35zwi,cm3rux19l000lnlfxwhklvs5v,cm3p04lcz0006nk9swv8k2z0u,1,2,1733360272134,1733360272134
cm4aly9s8000ztc68hbhph11s,cm4aly9nl0001tc6818k35zwi,cm3rnwxk00007sl8zp95a1l87,cm3p03mwx0003nk9ssu3ae7rq,1,2,1733360272136,1733360272136
cm4aly9sa0011tc689mk6jwjc,cm4aly9nl0001tc6818k35zwi,cm3ruy60m000pnlfx331t8iqi,cm3p0452q0005nk9slxs3ereu,1,1,1733360272138,1733360272138
cm4aly9sb0013tc68jklpmf74,cm4aly9nl0001tc6818k35zwi,cm3s18c9s0025wuf6gntupn8v,cm3p06vln000bnk9s6xdfltab,1,1,1733360272140,1733360272140
cm4aly9sd0015tc68xurtoifg,cm4aly9nl0001tc6818k35zwi,cm3rud81x0007nlfx62otafdt,cm3p03mwx0003nk9ssu3ae7rq,1,6,1733360272142,1733360272142
cm4aly9t00017tc6861rd5bhm,cm4aly9nl0001tc6818k35zwi,cm3s0g2y0001dwuf6796tbpao,cm3p068ht0009nk9s280trn2b,1,1,1733360272165,1733360272165
cm4aly9t20019tc68pexhjw6f,cm4aly9nl0001tc6818k35zwi,cm3s147to001zwuf62izcazz8,cm3p05s6k0008nk9spkpqzxbq,1,6,1733360272166,1733360272166
cm4aly9t4001btc68cac0onli,cm4aly9nl0001tc6818k35zwi,cm3ruml7w000dnlfxczb5wb1h,cm3p0452q0005nk9slxs3ereu,1,2,1733360272168,1733360272168
cm4aly9t5001dtc681k50p7k9,cm4aly9nl0001tc6818k35zwi,cm3s23k6l002fwuf6w9360azj,cm3p06vln000bnk9s6xdfltab,1,2,1733360272170,1733360272170
cm4aly9t7001ftc68yf7i1man,cm4aly9nl0001tc6818k35zwi,cm3rx6sn00003wuf6kt6019hn,cm3p0bqus000dnk9s7cggt1yt,1,1,1733360272172,1733360272172
cm4aly9t9001htc68tyr32qzb,cm4aly9nl0001tc6818k35zwi,cm3ruaq0o0001nlfx5dq13hqg,cm3p03mwx0003nk9ssu3ae7rq,1,3,1733360272173,1733360272173
cm4aly9tb001jtc68p3emhzfh,cm4aly9nl0001tc6818k35zwi,cm3rx8dw80005wuf670siax9d,cm3p0bqus000dnk9s7cggt1yt,1,2,1733360272175,1733360272175
cm4aly9td001ltc681jfppbih,cm4aly9nl0001tc6818k35zwi,cm3s118my001rwuf6hu5jif8t,cm3p05s6k0008nk9spkpqzxbq,8,2,1733360272177,1733360272177
cm4aly9te001ntc6883c1qtw7,cm4aly9nl0001tc6818k35zwi,cm3rx4r110001wuf6gv5mtiaq,cm3p04lcz0006nk9swv8k2z0u,1,3,1733360272179,1733360272179
cm4aly9tg001ptc68hppfynwu,cm4aly9nl0001tc6818k35zwi,cm3s02uh9000xwuf6gfwkem3n,cm3p04vhy0007nk9sco2nqv89,8,2,1733360272180,1733360272180
